rok,wariant_1,wariant_2,wariant_3
2023,6580,6628,6550
2024,6681,6755,6635
2025,6775,6871,6713
2026,6859,6976,6782
2027,6937,7073,6846
2028,6983,7125,6889
2029,7027,7174,6931
2030,7071,7224,6973
2031,7114,7273,7014
2032,7163,7328,7061
2035,7369,7554,7260
2040,7939,8159,7815
2045,8686,8940,8546
2050,9287,9560,9137
2055,9601,9879,9447
2060,9609,9882,9456
2065,9354,9617,9205
2070,9068,9327,8923
2075,8816,9068,8674
2080,8556,8802,8418
