rok,wariant_1,wariant_2,wariant_3
2023,19.23,19.04,19.32
2024,19.24,19.05,19.33
2025,19.25,19.07,19.34
2026,19.29,19.11,19.38
2027,19.33,19.15,19.42
2028,19.38,19.21,19.47
2029,19.43,19.26,19.52
2030,19.48,19.31,19.57
2031,19.53,19.36,19.61
2032,19.57,19.41,19.66
2035,19.67,19.51,19.75
2040,19.64,19.47,19.72
2045,19.4,19.22,19.48
2050,19.12,18.93,19.21
2055,18.99,18.8,19.09
2060,18.97,18.78,19.07
2065,18.97,18.78,19.07
2070,18.97,18.78,19.07
2075,18.97,18.78,19.07
2080,18.97,18.78,19.07
