rok,wariant_1,wariant_2,wariant_3
2023,16296,16054,16535
2024,16283,15947,16552
2025,16212,15845,16537
2026,16147,15753,16537
2027,16039,15623,16493
2028,15942,15506,16422
2029,15851,15398,16356
2030,15751,15282,16278
2031,15696,15211,16253
2032,15640,15141,16225
2035,15435,14889,16093
2040,14926,14323,15675
2045,14155,13495,15040
2050,13277,12614,14175
2055,12493,11851,13341
2060,11917,11312,12727
2065,11544,10955,12327
2070,11171,10588,11926
2075,10710,10137,11433
2080,10201,9649,10890
