rok,wariant_1,wariant_2,wariant_3
2023,27.12,27.79,26.48
2024,28.63,29.81,27.72
2025,29.31,30.88,28.21
2026,29.6,31.46,28.29
2027,29.76,31.82,28.22
2028,29.83,32.07,28.09
2029,29.8,32.17,27.93
2030,29.73,32.23,27.75
2031,29.5,32.11,27.42
2032,29.2,31.9,27.04
2035,28.4,31.36,25.99
2040,27.12,30.43,24.42
2045,26.57,30.25,23.51
2050,26.19,30.14,22.93
2055,25.55,29.67,22.21
2060,24.45,28.64,21.1
2065,22.91,27.08,19.57
2070,21.78,25.97,18.44
2075,21.46,25.77,18.05
2080,21.63,26.1,18.07
